GameID,HomeTeam,AwayTeam,HomeTeamScore,AwayTeamScore,home_Possessions,home_FantasyPoints,home_Minutes,home_Seconds,home_FieldGoalsMade,home_FieldGoalsAttempted,home_FieldGoalsPercentage,home_EffectiveFieldGoalsPercentage,home_TwoPointersMade,home_TwoPointersAttempted,home_TwoPointersPercentage,home_ThreePointersMade,home_ThreePointersAttempted,home_ThreePointersPercentage,home_FreeThrowsMade,home_FreeThrowsAttempted,home_FreeThrowsPercentage,home_OffensiveRebounds,home_DefensiveRebounds,home_Rebounds,home_Assists,home_Steals,home_BlockedShots,home_Turnovers,home_PersonalFouls,home_Points,home_TrueShootingAttempts,home_TrueShootingPercentage,home_FantasyPointsFanDuel,home_FantasyPointsDraftKings,home_FantasyPointsYahoo,home_PlusMinus,home_DoubleDoubles,home_TripleDoubles,home_FantasyPointsFantasyDraft,away_Possessions,away_FantasyPoints,away_Minutes,away_Seconds,away_FieldGoalsMade,away_FieldGoalsAttempted,away_FieldGoalsPercentage,away_EffectiveFieldGoalsPercentage,away_TwoPointersMade,away_TwoPointersAttempted,away_TwoPointersPercentage,away_ThreePointersMade,away_ThreePointersAttempted,away_ThreePointersPercentage,away_FreeThrowsMade,away_FreeThrowsAttempted,away_FreeThrowsPercentage,away_OffensiveRebounds,away_DefensiveRebounds,away_Rebounds,away_Assists,away_Steals,away_BlockedShots,away_Turnovers,away_PersonalFouls,away_Points,away_TrueShootingAttempts,away_TrueShootingPercentage,away_FantasyPointsFanDuel,away_FantasyPointsDraftKings,away_FantasyPointsYahoo,away_PlusMinus,away_DoubleDoubles,away_TripleDoubles,away_FantasyPointsFantasyDraft
20400,DET,CLE,148,162,144.5,317.8,359,0,49.4,133.1,55.5,63.9,34.4,79.3,64.9,15.0,53.9,41.6,35.9,41.9,128.2,13.5,49.4,62.8,35.9,15.0,10.5,12.0,34.4,149.6,151.6,73.8,343.2,338.8,343.2,-74.8,4.5,0.0,338.8,144.5,332.3,359,0,49.4,124.2,59.5,75.7,22.4,62.8,53.4,26.9,61.3,65.7,38.9,44.9,129.7,18.0,61.3,79.3,37.4,10.5,13.4,22.4,29.9,164.6,143.9,85.7,351.7,363.2,351.7,74.8,2.2,0.0,363.2
20401,PHI,CHA,179,168,62.6,180.1,171,0,32.8,68.4,34.2,41.6,19.3,37.1,37.0,13.5,31.4,30.8,5.1,5.6,64.8,10.7,23.5,34.2,27.1,2.5,3.6,3.6,12.1,86.3,71.9,42.7,188.7,193.2,188.7,25.0,1.0,0.0,193.2,62.6,146.5,171,0,30.7,59.9,36.5,42.4,20.7,36.4,40.6,7.1,23.5,30.2,7.1,12.1,58.8,3.6,17.8,22.8,17.1,2.5,3.1,2.5,6.6,81.3,65.2,44.4,154.3,155.4,154.3,-25.0,0.5,0.0,155.4
20402,BOS,DAL,204,162,152.8,404.9,375,0,81.3,147.0,86.5,103.2,48.5,79.8,95.1,32.8,67.3,76.3,20.3,20.3,156.4,14.1,59.4,73.5,51.6,9.8,12.5,14.1,23.5,215.8,156.0,108.4,423.7,432.1,423.7,219.0,0.0,0.0,432.1,152.8,311.9,375,0,68.8,147.0,73.2,79.9,54.7,93.8,91.2,14.1,53.2,41.4,20.3,28.2,112.9,15.6,50.0,65.7,31.3,9.8,9.8,10.9,18.8,172.0,159.4,84.3,324.4,334.7,324.4,-219.0,2.4,2.4,332.4
20403,TOR,GS,155,177,80.3,168.4,187,0,32.0,74.1,33.7,38.6,22.6,39.0,45.2,7.3,35.1,20.8,6.7,13.3,50.5,6.7,28.1,36.7,24.2,5.5,1.2,10.9,10.9,81.9,79.9,39.9,177.0,183.9,177.0,-58.5,1.8,0.0,183.9,80.3,188.9,187,0,34.3,76.4,35.0,42.2,20.3,42.1,37.5,14.0,34.3,31.9,10.9,14.0,60.7,11.7,32.0,43.7,20.3,6.1,3.0,10.9,10.9,93.6,82.6,44.1,200.6,203.6,200.6,58.5,0.0,0.0,203.6
20404,MEM,POR,136,180,130.4,214.5,327,0,47.7,107.6,60.3,68.9,35.4,74.9,64.4,12.3,32.7,51.1,17.7,30.0,80.5,10.9,30.0,40.9,20.4,11.1,10.9,28.6,23.2,125.3,120.8,70.8,233.6,237.0,233.6,-204.3,0.0,0.0,237.0,130.4,342.8,327,0,65.4,125.3,71.1,79.9,47.7,83.1,78.2,17.7,42.2,57.1,17.7,21.8,110.6,21.8,40.9,62.7,42.2,17.7,10.9,19.1,27.2,166.2,134.9,83.9,371.4,366.4,371.4,204.3,1.9,0.0,366.4
20405,MIN,SAC,177,183,58.4,128.5,153,0,24.3,49.1,28.6,32.7,17.3,31.2,32.1,4.0,17.9,22.4,13.9,18.5,43.4,2.7,20.8,25.4,16.8,1.3,1.7,4.0,12.7,69.4,57.3,35.0,133.7,137.6,133.7,-11.6,0.3,0.0,137.6,58.4,140.2,153,0,28.9,57.8,28.9,32.4,22.5,41.0,31.7,3.7,16.8,21.9,4.3,13.9,31.3,4.7,17.9,26.0,16.8,2.7,2.0,2.3,16.8,71.7,63.9,32.4,148.3,147.5,148.3,11.6,0.3,0.0,147.5
20406,NO,IND,190,151,143.6,331.4,343,0,68.6,122.9,79.7,93.0,47.2,77.2,87.3,21.4,45.7,67.0,25.7,37.2,98.9,15.7,51.4,67.2,35.7,12.9,8.2,24.3,24.3,184.3,139.2,94.6,350.0,357.6,350.0,192.9,0.0,0.0,357.6,143.6,300.5,343,0,57.2,135.8,60.2,67.7,42.9,90.0,68.0,14.3,45.7,44.6,17.1,25.7,95.3,24.3,38.6,62.9,35.7,12.9,11.4,22.9,30.0,145.8,147.1,70.7,324.8,324.4,324.8,-192.9,2.0,0.0,324.4
20407,CHI,MIL,143,167,61.2,120.8,155,0,23.2,55.5,27.0,31.5,16.1,38.1,27.3,4.6,17.4,26.3,5.8,10.3,56.4,2.9,23.9,28.4,16.1,1.7,0.8,5.0,13.5,62.6,60.0,33.7,124.7,129.6,124.7,-51.6,0.0,0.0,129.6,61.2,141.8,155,0,23.9,55.5,27.7,33.0,14.2,25.8,35.5,6.2,29.7,21.0,15.5,20.6,48.4,4.6,24.5,31.6,14.2,2.9,1.7,2.9,11.6,72.9,64.6,36.4,148.9,151.4,148.9,51.6,0.4,0.0,151.4
20408,LAC,WAS,207,170,27.1,69.6,64,0,14.3,24.9,15.2,16.9,10.9,16.4,17.5,0.9,2.2,10.8,1.3,1.8,20.1,0.6,10.6,13.0,2.2,0.4,0.5,0.6,0.9,37.1,27.8,17.7,72.8,73.1,72.8,33.1,0.0,0.0,73.1,27.1,56.3,64,0,12.2,26.0,12.4,14.1,2.4,17.0,14.1,0.8,2.4,2.5,0.8,1.1,19.4,0.6,2.1,10.3,2.0,0.4,0.2,0.6,1.2,30.5,27.7,14.6,58.4,60.0,58.4,-33.1,0.1,0.0,60.0
20392,CHA,MIL,120,134,136.2,272.5,353,87,53.2,121.2,64.9,75.7,35.5,63.6,82.5,17.7,57.6,45.5,22.2,29.6,110.8,13.3,48.8,62.1,35.5,6.6,6.6,19.2,26.6,146.3,134.2,80.4,281.4,296.3,281.4,-88.7,2.2,0.0,296.3,136.2,313.8,353,87,57.6,127.1,67.0,80.8,34.0,69.5,72.3,23.6,57.6,60.6,25.1,29.6,125.6,11.8,53.2,65.0,31.0,13.3,6.6,10.3,26.6,164.1,140.1,86.3,331.5,338.5,331.5,88.7,4.4,0.0,338.5
20393,ORL,UTA,139,129,66.4,156.0,167,0,29.2,53.5,37.9,42.4,22.2,32.7,47.3,4.8,20.8,23.1,14.6,21.5,47.1,4.8,24.3,31.3,18.8,4.3,2.9,10.4,13.9,79.9,63.0,44.1,166.5,167.3,166.5,27.8,0.5,0.0,167.3,66.4,134.8,167,0,23.6,55.6,29.5,36.5,12.5,29.9,29.1,11.1,25.7,30.0,16.0,19.5,57.1,3.4,20.8,25.7,17.4,3.9,0.5,6.3,15.3,74.4,64.2,40.2,141.0,147.2,141.0,-27.8,0.5,0.0,147.2
20394,BKN,ATL,150,117,121.3,295.5,306,0,58.7,114.8,65.2,80.8,30.6,56.1,69.5,28.1,58.7,61.0,12.8,16.6,98.1,10.2,44.7,54.9,38.3,9.8,6.5,11.5,20.4,158.2,122.1,82.8,308.3,318.0,308.3,172.3,0.0,0.0,318.0,121.3,232.0,306,0,47.2,109.7,54.9,60.9,37.0,74.0,63.8,10.2,35.7,36.5,19.1,26.8,91.1,10.2,39.6,49.8,23.0,4.9,10.2,14.0,17.9,123.8,121.5,65.2,246.0,246.6,246.0,-172.3,0.0,0.0,246.6
20395,NY,GS,120,133,48.1,102.9,118,29,17.3,46.8,18.1,21.3,11.3,27.6,20.3,2.9,19.2,15.2,4.1,11.8,34.9,4.1,19.2,27.6,11.3,1.7,0.7,2.9,3.6,48.8,52.0,23.1,107.8,110.9,107.8,-27.1,0.2,0.0,110.9,48.1,112.2,118,28,21.7,48.3,22.1,25.6,14.8,26.6,27.4,3.4,21.7,15.7,1.9,3.9,24.6,3.9,18.2,26.1,12.8,1.9,1.2,2.7,4.6,54.2,51.8,25.8,118.6,120.4,118.6,27.1,0.2,0.0,120.4
20396,SA,OKC,160,143,132.5,351.5,323,0,64.5,122.3,70.8,85.6,39.0,69.9,75.0,25.5,52.4,65.5,22.8,26.9,114.2,14.8,45.7,60.5,52.4,10.8,10.8,14.8,26.9,177.4,134.1,88.7,370.3,378.7,370.3,94.1,3.6,0.0,378.7,132.5,266.6,321,77,59.1,119.6,66.4,72.4,47.0,78.0,81.0,12.1,41.7,39.0,28.2,29.6,128.4,12.6,40.3,49.7,26.9,10.8,3.6,13.4,20.2,158.6,132.6,80.5,277.4,281.9,277.4,-94.1,0.0,0.0,281.9
20397,PHO,HOU,133,127,56.6,118.3,134,0,20.2,49.8,22.6,26.4,12.9,29.1,24.8,4.1,20.7,19.7,14.0,20.7,37.9,4.4,20.7,28.6,11.2,1.9,1.9,4.4,11.8,61.6,59.0,29.2,125.0,128.1,125.0,14.0,0.3,0.0,128.1,56.6,117.4,134,0,18.5,55.4,18.6,21.5,12.3,30.2,22.8,3.4,25.2,13.7,15.7,17.4,50.6,10.6,21.8,32.5,4.4,2.5,1.6,3.8,16.2,58.8,63.1,26.2,124.7,126.3,124.7,-14.0,0.3,0.0,126.3
20398,DEN,MIA,125,117,109.9,235.5,274,0,41.1,95.9,49.0,57.1,27.4,57.1,54.8,13.7,38.8,40.3,21.7,24.0,103.4,10.3,36.5,46.8,25.1,11.4,10.4,17.1,26.3,117.6,106.5,63.3,256.0,256.7,256.0,34.3,2.6,0.0,256.7,109.9,217.6,274,0,40.0,94.8,48.2,52.3,32.0,65.1,56.1,9.1,29.7,30.7,22.8,27.4,95.1,10.3,41.1,51.4,24.0,11.4,1.3,16.0,18.3,110.8,106.8,59.3,230.1,232.1,230.1,-34.3,0.0,0.0,232.1
20399,LAL,WAS,162,158,40.0,88.1,95,0,19.0,36.2,18.8,20.2,16.1,27.9,20.7,1.0,2.9,12.5,2.6,3.1,29.8,0.9,13.6,16.1,10.7,0.8,0.8,1.4,2.1,48.0,39.9,21.5,92.4,92.8,92.4,1.9,0.1,0.0,92.8,40.0,88.2,95,0,18.6,36.5,18.3,21.1,12.5,21.8,20.5,2.2,14.7,14.9,1.3,1.5,29.8,1.3,12.5,16.1,12.5,0.8,0.8,1.9,2.4,46.9,38.4,21.8,92.5,95.9,92.5,-5.4,0.3,0.0,95.9
20386,IND,NO,167,154,150.0,385.1,364,0,75.8,154.6,74.3,84.7,54.6,97.0,85.2,21.2,57.6,55.8,13.6,13.6,151.6,21.2,54.6,75.8,51.5,11.5,13.6,12.1,31.8,186.5,160.6,87.9,406.3,412.4,406.3,68.2,6.9,0.0,412.4,150.0,307.7,364,0,63.7,136.4,70.8,80.8,47.0,92.5,77.0,16.7,44.0,57.5,28.8,34.9,125.2,10.6,50.0,60.6,39.4,4.6,9.2,15.2,18.2,172.8,151.8,86.4,316.8,326.7,316.8,-68.2,0.0,0.0,326.7
20387,TOR,DAL,169,184,85.7,196.6,192,0,36.8,78.4,37.5,42.5,26.4,50.4,41.9,10.4,28.0,29.7,16.0,24.0,53.4,7.7,25.6,35.2,27.2,7.0,1.9,7.0,16.8,100.0,89.0,45.0,207.8,209.2,207.8,-44.0,0.6,0.0,209.2,85.7,211.2,192,0,41.6,76.8,43.4,50.0,29.6,42.4,55.8,12.0,34.4,27.9,13.6,16.8,64.8,7.0,31.2,40.0,25.6,4.5,6.4,11.2,16.0,108.8,84.2,51.8,224.8,228.4,224.8,44.0,0.6,0.6,227.2
20388,MIN,MEM,149,137,163.1,380.2,412,0,67.0,135.7,84.9,100.0,43.0,75.6,97.6,24.1,60.1,68.7,30.9,37.8,140.5,14.8,58.4,67.0,49.8,11.8,22.3,22.3,32.6,189.0,152.4,106.7,409.4,409.3,409.4,77.3,3.0,0.0,409.3,163.1,356.5,412,0,61.8,159.8,66.5,77.7,43.0,96.2,76.6,18.9,63.6,51.0,30.9,34.4,154.6,29.2,56.7,85.9,39.5,13.7,14.8,24.1,37.8,173.5,174.9,85.0,378.8,384.8,378.8,-77.3,3.0,0.0,384.8
20389,CHI,CLE,179,167,114.7,276.9,291,0,44.1,110.2,40.1,45.6,31.1,73.1,42.6,13.0,37.1,35.2,31.1,38.1,81.8,25.0,49.1,74.1,29.1,6.0,8.0,16.0,18.0,132.3,127.0,52.3,290.9,301.1,290.9,45.1,4.0,0.0,301.1,114.7,249.8,291,0,45.1,104.2,43.4,53.9,23.0,50.1,46.1,22.0,54.1,40.8,11.0,19.0,58.0,5.0,34.1,39.1,37.1,7.0,11.0,12.0,25.0,123.2,112.6,54.8,267.8,271.8,267.8,-45.1,2.0,0.0,271.8
20390,DEN,SAC,158,130,138.2,336.0,337,82,64.9,121.3,75.5,88.6,43.7,72.0,85.8,21.2,49.4,60.5,14.1,15.5,128.3,10.0,53.6,60.7,49.4,14.1,11.9,21.2,24.0,165.1,128.2,90.7,358.5,366.5,358.5,148.2,2.0,2.0,364.4,138.2,284.5,337,82,53.6,134.0,56.4,65.3,36.7,84.7,61.1,16.9,49.4,48.4,11.3,18.3,86.8,21.2,39.5,60.7,39.5,11.3,10.0,19.8,19.8,135.5,142.1,67.4,302.8,308.0,302.8,-148.2,2.0,0.0,308.0
20391,LAC,LAL,152,157,60.3,130.9,150,0,28.2,55.8,31.7,35.2,21.9,32.6,42.2,3.9,23.2,16.9,4.7,10.0,47.0,3.5,16.9,22.6,18.2,3.9,0.4,4.7,10.7,70.2,60.2,36.6,137.8,138.9,137.8,-12.5,0.0,0.0,138.9,60.3,132.8,150,0,29.5,53.9,34.3,39.4,20.7,31.4,41.4,5.5,22.6,24.4,3.1,3.9,50.2,3.1,19.4,24.5,17.6,2.4,2.0,5.9,4.7,72.7,56.7,40.2,139.7,144.1,139.7,12.5,0.4,0.0,144.1
20375,CLE,DAL,93,91,152.4,356.0,378,0,69.3,130.8,83.5,102.6,37.8,67.8,87.9,31.5,63.0,78.8,20.5,28.4,113.8,14.2,59.9,74.1,55.2,5.0,9.9,25.2,18.9,190.7,143.3,104.8,365.5,388.1,365.5,15.8,0.0,0.0,388.1,152.4,355.7,378,0,75.6,143.4,83.1,95.2,53.6,91.4,92.4,22.1,52.0,66.8,14.2,23.6,94.6,12.4,48.9,56.7,36.2,17.3,14.9,12.4,18.9,187.5,153.8,96.1,382.5,375.9,382.5,-15.8,2.5,0.0,375.9
20376,ORL,BKN,83,62,68.3,144.0,174,0,28.3,53.6,38.2,43.1,21.8,35.5,44.4,4.7,18.1,26.1,15.2,18.1,60.9,2.6,23.9,27.6,14.5,10.2,1.1,12.3,16.0,78.3,61.6,46.0,155.6,154.8,155.6,97.9,0.0,0.0,154.8,68.3,110.2,174,0,22.5,57.3,28.4,32.1,16.7,34.8,34.7,4.2,22.5,18.7,5.8,10.2,57.0,4.7,18.8,25.4,13.0,5.3,0.5,14.5,16.0,58.7,61.7,34.5,118.2,121.6,118.2,-97.9,0.0,0.0,121.6
20377,WAS,GS,86,94,158.2,320.0,362,0,69.4,140.2,74.6,84.3,51.3,87.5,88.4,18.1,52.8,51.7,12.1,15.1,120.6,16.6,45.2,61.8,51.3,11.4,11.4,30.2,18.1,168.9,146.9,86.6,335.1,351.7,335.1,-82.9,4.5,0.0,351.7,158.2,380.5,362,0,70.9,141.8,75.4,93.0,39.2,72.4,81.7,31.7,69.4,68.9,12.1,16.6,109.6,13.6,52.8,66.4,58.8,18.1,13.6,27.1,16.6,185.5,149.1,93.6,407.6,413.2,407.6,82.9,0.0,0.0,413.2
20378,ATL,UTA,95,74,95.8,227.3,222,0,42.6,86.1,45.8,51.8,31.5,56.5,51.6,11.1,29.6,34.7,18.5,21.3,80.6,13.9,37.0,50.9,25.0,6.9,6.9,15.7,13.9,114.8,95.5,55.7,242.1,246.1,242.1,125.0,1.7,0.0,246.1,95.8,183.0,222,0,32.4,87.0,34.4,39.4,22.2,51.9,39.7,10.2,35.2,26.8,14.8,17.6,78.0,11.1,28.7,39.8,22.2,10.2,3.4,15.7,13.9,89.8,94.8,43.8,196.9,199.3,196.9,-125.0,0.9,0.0,199.3
20379,BOS,PHI,90,76,162.5,399.6,410,0,66.7,126.5,90.1,97.1,58.1,88.9,111.8,14.6,37.6,38.8,58.1,63.3,157.1,15.4,80.4,95.8,35.9,12.0,15.4,23.9,27.4,200.1,154.4,110.5,427.0,425.8,427.0,153.9,5.8,0.0,425.8,162.5,300.3,410,0,63.3,160.7,67.4,80.0,39.3,88.9,75.6,23.9,71.8,56.9,18.8,20.5,156.8,13.7,34.2,47.9,34.2,10.3,14.6,15.4,39.3,169.3,169.8,85.0,319.1,322.3,319.1,-153.9,0.0,0.0,322.3
20380,NY,NO,70,88,127.8,274.0,348,0,44.9,120.3,54.0,66.4,24.6,53.6,66.5,20.3,66.7,44.0,23.2,33.3,100.9,18.8,36.2,55.1,39.1,12.6,10.5,15.9,29.0,133.3,134.9,71.7,289.9,297.0,289.9,-166.6,2.1,0.0,297.0,127.8,298.9,348,0,56.5,111.6,73.3,90.3,30.4,62.3,70.7,26.1,49.3,76.7,27.5,33.3,119.7,14.5,49.3,63.8,33.3,8.4,10.5,20.3,30.4,166.6,126.2,95.8,312.0,325.3,312.0,166.6,0.0,0.0,325.3
20381,MIN,SA,87,80,74.4,179.7,176,0,31.5,68.2,33.9,39.4,22.0,45.4,35.5,7.0,22.7,30.7,11.0,12.5,64.7,5.9,25.7,33.7,20.5,11.7,4.3,10.3,10.3,83.6,73.7,41.6,197.3,192.4,197.3,33.0,0.5,0.0,192.4,74.4,151.1,176,0,28.6,60.1,34.9,42.0,16.9,30.1,41.1,11.7,30.1,28.6,5.9,11.0,53.7,3.8,24.9,30.1,20.5,4.8,3.8,16.1,11.0,77.0,64.9,43.5,162.9,167.7,162.9,-33.0,0.5,0.0,167.7
